timestamp,endpoint,nansen_request_id,http_status,credits,latency_ms,context,ok
2026-09-19T17:28:16.013Z,tgm/flow-intelligence,613ee77de15f37797a2cf86d0b7d440e,200,1,1855,investigation,1
2026-09-19T17:28:16.736Z,tgm/flow-intelligence,04cc672aed870354ac10c92ddba73a51,200,1,718,investigation,1
2026-09-19T17:28:18.072Z,tgm/flow-intelligence,0053366b048d084901a535474222ef5e,200,1,1334,investigation,1
2026-09-19T17:28:18.937Z,tgm/flow-intelligence,47d103542bb8532b3678bb6847243a3f,200,1,861,investigation,1
2026-09-19T17:28:19.687Z,tgm/flow-intelligence,fa2d4b7f7ae7d7758bf57744a60fc54a,200,1,746,investigation,1
2026-09-19T17:28:21.156Z,tgm/flow-intelligence,1086634f6d059507bdb76e136b4d2676,200,1,1464,investigation,1
2026-09-19T17:28:22.702Z,tgm/flows,69cbb157b51a88605fec6f4e8f05624e,200,1,1526,investigation,1
2026-09-19T17:28:23.891Z,tgm/who-bought-sold,42c643468082614aca05541aab91f51d,200,1,1094,investigation,1
2026-09-19T17:28:25.524Z,tgm/token-ohlcv,778b3738c733f3013d3d0371b9517b7e,200,1,1597,investigation,1
2026-09-19T17:29:06.544Z,tgm/flow-intelligence,4d2a951d10289a5531ee291859b9f473,200,1,1259,monitoring,1
2026-09-19T17:29:08.507Z,tgm/token-ohlcv,2157616d6beb097c1e8aa6686f81f60a,200,1,1947,monitoring,1
2026-09-19T17:29:09.246Z,tgm/flow-intelligence,d547301d63068d66b4dcb953b6de106a,200,1,734,monitoring,1
2026-09-19T17:29:10.199Z,tgm/flow-intelligence,eed5f2697403500eeae7d941296d6869,200,1,949,monitoring,1
2026-09-19T17:29:11.123Z,tgm/who-bought-sold,98da43647fbdba36c677fe3c19ad091f,200,1,917,monitoring,1
2026-09-19T17:41:26.761Z,search/general,5778a27a6fda9401bfc88326490dda3d,200,0,7964,search,1
2026-09-19T17:41:26.780Z,search/general,73e9783044ec6957d7e34335d654ae62,200,0,6538,search,1
2026-09-19T17:41:26.962Z,search/general,e82ad766c3b0f9208da64a42c5540223,200,0,7304,search,1
2026-09-19T17:41:27.279Z,search/general,422dcc25018de24bf30edc74e897cc13,200,0,8444,search,1
2026-09-19T17:41:45.008Z,search/general,f7c4d3635c8e28264c8379692bcdfe7c,200,0,1049,search,1
2026-09-19T17:41:45.265Z,search/general,955a5b0da15ec750b0cd74555c87020a,200,0,924,search,1
2026-09-19T17:41:45.924Z,search/general,60b34f1f11435812cd9d1244d9975839,200,0,798,search,1
2026-09-19T18:15:20.525Z,search/general,3eb0511028b295765245b151d7f78933,200,0,8292,search,1
2026-09-19T18:17:35.305Z,tgm/flow-intelligence,1fe1893f7aea0571484174772084d966,200,1,2452,investigation,1
2026-09-19T18:17:37.017Z,tgm/flow-intelligence,00cf765ea406cc2fee197e6ee4fc7c2e,200,1,1697,investigation,1
2026-09-19T18:17:38.763Z,tgm/flow-intelligence,b9345349894262029d45911646692f00,200,1,1723,investigation,1
